
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e86cc238-7265-4253-8249-7041c28cdeaa (gw150914-16day-c01-v1_3_2)
Transformation           Count     Succeeded Failed  Min       Max       Mean      Total     
# dfe98276-409e-45a2-8e74-4bd593087614 (H1L1-FOREGROUND_MINIFOLLOWUP_FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0-1126051217-3331800_dax)
Transformation                               Count     Succeeded Failed  Min       Max       Mean             Total     
dagman::post                                 1410      128       1282    0.0       1.0       0.119            168.0     
page_coincinfo-0-H1L1_ID0                    1         1         0       198.377   198.377   198.377          198.377   
page_coincinfo-1-H1L1_ID11                   3         1         2       9.323     268.819   96.098           288.293   
page_coincinfo-2-H1L1_ID22                   1         1         0       261.981   261.981   261.981          261.981   
page_coincinfo-3-H1L1_ID33                   1         1         0       190.9     190.9     190.9            190.9     
page_coincinfo-4-H1L1_ID44                   1         1         0       281.64    281.64    281.64           281.64    
pegasus::dirmanager                          1         1         0       3.1       3.1       3.1              3.1       
pegasus::transfer                            17        17        0       2.203     56.365    19.442           330.509   
plot_singles_timefreq-0-H1_ID9               65        1         64      4.344     199.053   9.587            623.123   
plot_singles_timefreq-0-L1_ID10              65        1         64      4.577     165.946   9.026            586.705   
plot_singles_timefreq-1-H1_ID20              65        1         64      5.044     182.763   9.594            623.628   
plot_singles_timefreq-1-L1_ID21              65        1         64      4.552     229.124   10.189           662.302   
plot_singles_timefreq-2-H1_ID31              65        1         64      4.794     342.399   11.862           771.032   
plot_singles_timefreq-2-L1_ID32              65        1         64      4.775     228.826   9.903            643.708   
plot_singles_timefreq-3-H1_ID42              65        1         64      4.475     169.907   9.095            591.165   
plot_singles_timefreq-3-L1_ID43              65        1         64      4.659     153.38    8.982            583.827   
plot_singles_timefreq-4-H1_ID53              65        1         64      4.437     162.819   8.844            574.89    
plot_singles_timefreq-4-L1_ID54              65        1         64      4.594     134.902   7.952            516.911   
plot_trigger_timeseries-NEWSNR10_0-H1L1_ID4  1         1         0       1371.457  1371.457  1371.457         1371.457  
plot_trigger_timeseries-NEWSNR10_1-H1L1_ID15 1         1         0       1481.085  1481.085  1481.085         1481.085  
plot_trigger_timeseries-NEWSNR10_2-H1L1_ID26 1         1         0       1277.551  1277.551  1277.551         1277.551  
plot_trigger_timeseries-NEWSNR10_3-H1L1_ID37 1         1         0       1445.325  1445.325  1445.325         1445.325  
plot_trigger_timeseries-NEWSNR10_4-H1L1_ID48 1         1         0       1354.544  1354.544  1354.544         1354.544  
plot_trigger_timeseries-NEWSNR1_0-H1L1_ID3   1         1         0       1368.377  1368.377  1368.377         1368.377  
plot_trigger_timeseries-NEWSNR1_1-H1L1_ID14  1         1         0       1455.346  1455.346  1455.346         1455.346  
plot_trigger_timeseries-NEWSNR1_2-H1L1_ID25  1         1         0       1296.602  1296.602  1296.602         1296.602  
plot_trigger_timeseries-NEWSNR1_3-H1L1_ID36  1         1         0       1451.404  1451.404  1451.404         1451.404  
plot_trigger_timeseries-NEWSNR1_4-H1L1_ID47  1         1         0       864.574   864.574   864.574          864.574   
plot_trigger_timeseries-SNR10_0-H1L1_ID2     1         1         0       1452.095  1452.095  1452.095         1452.095  
plot_trigger_timeseries-SNR10_1-H1L1_ID13    1         1         0       1442.064  1442.064  1442.064         1442.064  
plot_trigger_timeseries-SNR10_2-H1L1_ID24    1         1         0       911.471   911.471   911.471          911.471   
plot_trigger_timeseries-SNR10_3-H1L1_ID35    1         1         0       1346.271  1346.271  1346.271         1346.271  
plot_trigger_timeseries-SNR10_4-H1L1_ID46    1         1         0       1418.511  1418.511  1418.511         1418.511  
plot_trigger_timeseries-SNR1_0-H1L1_ID1      1         1         0       1269.496  1269.496  1269.496         1269.496  
plot_trigger_timeseries-SNR1_1-H1L1_ID12     1         1         0       919.379   919.379   919.379          919.379   
plot_trigger_timeseries-SNR1_2-H1L1_ID23     1         1         0       1260.004  1260.004  1260.004         1260.004  
plot_trigger_timeseries-SNR1_3-H1L1_ID34     1         1         0       944.917   944.917   944.917          944.917   
plot_trigger_timeseries-SNR1_4-H1L1_ID45     1         1         0       1290.285  1290.285  1290.285         1290.285  
single_template-P1_0-H1_ID5                  65        1         64      4.523     346.243   12.082           785.327   
single_template-P1_0-L1_ID7                  65        1         64      4.863     281.961   11.145           724.41    
single_template-P1_1-H1_ID16                 65        1         64      4.472     404.105   13.103           851.7     
single_template-P1_1-L1_ID18                 65        1         64      4.253     273.313   10.938           710.978   
single_template-P1_2-H1_ID27                 65        1         64      4.815     734.476   18.125           1178.156  
single_template-P1_2-L1_ID29                 65        1         64      4.369     227.102   10.214           663.886   
single_template-P1_3-H1_ID38                 65        1         64      4.697     554.016   15.648           1017.147  
single_template-P1_3-L1_ID40                 65        1         64      4.287     427.782   13.154           855.013   
single_template-P1_4-H1_ID49                 65        1         64      4.571     413.724   13.575           882.37    
single_template-P1_4-L1_ID51                 65        1         64      4.528     272.707   10.777           700.519   
single_template_plot-P1_0-H1_ID6             1         1         0       8.927     8.927     8.927            8.927     
single_template_plot-P1_0-L1_ID8             1         1         0       19.059    19.059    19.059           19.059    
single_template_plot-P1_1-H1_ID17            1         1         0       6.075     6.075     6.075            6.075     
single_template_plot-P1_1-L1_ID19            1         1         0       9.621     9.621     9.621            9.621     
single_template_plot-P1_2-H1_ID28            1         1         0       7.293     7.293     7.293            7.293     
single_template_plot-P1_2-L1_ID30            1         1         0       6.861     6.861     6.861            6.861     
single_template_plot-P1_3-H1_ID39            1         1         0       5.641     5.641     5.641            5.641     
single_template_plot-P1_3-L1_ID41            1         1         0       10.023    10.023    10.023           10.023    
single_template_plot-P1_4-H1_ID50            1         1         0       7.419     7.419     7.419            7.419     
single_template_plot-P1_4-L1_ID52            1         1         0       10.757    10.757    10.757           10.757    
system::chmod                                55        55        0       0.003     0.017     0.006            0.338     


# 6769ca38-92a2-43ac-be30-cc1f87b5fddf (H1L1-FOREGROUND_MINIFOLLOWUP_FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL-1126051217-3331800_dax)
Transformation                               Count     Succeeded Failed  Min       Max       Mean             Total     
dagman::post                                 1408      128       1280    0.0       1.0       0.119            168.0     
page_coincinfo-0-H1L1_ID0                    1         1         0       194.5     194.5     194.5            194.5     
page_coincinfo-1-H1L1_ID11                   1         1         0       345.803   345.803   345.803          345.803   
page_coincinfo-2-H1L1_ID22                   1         1         0       208.248   208.248   208.248          208.248   
page_coincinfo-3-H1L1_ID33                   1         1         0       515.64    515.64    515.64           515.64    
page_coincinfo-4-H1L1_ID44                   1         1         0       206.992   206.992   206.992          206.992   
pegasus::dirmanager                          1         1         0       3.487     3.487     3.487            3.487     
pegasus::transfer                            17        17        0       2.196     58.365    19.073           324.239   
plot_singles_timefreq-0-H1_ID9               65        1         64      4.954     209.375   9.574            622.319   
plot_singles_timefreq-0-L1_ID10              65        1         64      4.798     1110.443  23.493           1527.018  
plot_singles_timefreq-1-H1_ID20              65        1         64      4.731     548.804   14.753           958.944   
plot_singles_timefreq-1-L1_ID21              65        1         64      4.92      519.23    14.451           939.328   
plot_singles_timefreq-2-H1_ID31              65        1         64      4.814     262.89    10.294           669.082   
plot_singles_timefreq-2-L1_ID32              65        1         64      4.888     228.271   10.97            713.038   
plot_singles_timefreq-3-H1_ID42              65        1         64      4.916     576.401   14.897           968.316   
plot_singles_timefreq-3-L1_ID43              65        1         64      4.779     175.77    9.088            590.707   
plot_singles_timefreq-4-H1_ID53              65        1         64      4.884     223.258   9.784            635.961   
plot_singles_timefreq-4-L1_ID54              65        1         64      4.646     190.965   8.562            556.516   
plot_trigger_timeseries-NEWSNR10_0-H1L1_ID4  1         1         0       1662.677  1662.677  1662.677         1662.677  
plot_trigger_timeseries-NEWSNR10_1-H1L1_ID15 1         1         0       1170.309  1170.309  1170.309         1170.309  
plot_trigger_timeseries-NEWSNR10_2-H1L1_ID26 1         1         0       1639.421  1639.421  1639.421         1639.421  
plot_trigger_timeseries-NEWSNR10_3-H1L1_ID37 1         1         0       2044.137  2044.137  2044.137         2044.137  
plot_trigger_timeseries-NEWSNR10_4-H1L1_ID48 1         1         0       1666.008  1666.008  1666.008         1666.008  
plot_trigger_timeseries-NEWSNR1_0-H1L1_ID3   1         1         0       1915.287  1915.287  1915.287         1915.287  
plot_trigger_timeseries-NEWSNR1_1-H1L1_ID14  1         1         0       1802.351  1802.351  1802.351         1802.351  
plot_trigger_timeseries-NEWSNR1_2-H1L1_ID25  1         1         0       1410.86   1410.86   1410.86          1410.86   
plot_trigger_timeseries-NEWSNR1_3-H1L1_ID36  1         1         0       1175.007  1175.007  1175.007         1175.007  
plot_trigger_timeseries-NEWSNR1_4-H1L1_ID47  1         1         0       1194.836  1194.836  1194.836         1194.836  
plot_trigger_timeseries-SNR10_0-H1L1_ID2     1         1         0       1348.522  1348.522  1348.522         1348.522  
plot_trigger_timeseries-SNR10_1-H1L1_ID13    1         1         0       1320.381  1320.381  1320.381         1320.381  
plot_trigger_timeseries-SNR10_2-H1L1_ID24    1         1         0       1795.212  1795.212  1795.212         1795.212  
plot_trigger_timeseries-SNR10_3-H1L1_ID35    1         1         0       1661.005  1661.005  1661.005         1661.005  
plot_trigger_timeseries-SNR10_4-H1L1_ID46    1         1         0       1623.521  1623.521  1623.521         1623.521  
plot_trigger_timeseries-SNR1_0-H1L1_ID1      1         1         0       1936.612  1936.612  1936.612         1936.612  
plot_trigger_timeseries-SNR1_1-H1L1_ID12     1         1         0       1836.91   1836.91   1836.91          1836.91   
plot_trigger_timeseries-SNR1_2-H1L1_ID23     1         1         0       1278.515  1278.515  1278.515         1278.515  
plot_trigger_timeseries-SNR1_3-H1L1_ID34     1         1         0       1129.831  1129.831  1129.831         1129.831  
plot_trigger_timeseries-SNR1_4-H1L1_ID45     1         1         0       1608.144  1608.144  1608.144         1608.144  
single_template-P1_0-H1_ID5                  65        1         64      4.533     1180.28   24.559           1596.309  
single_template-P1_0-L1_ID7                  65        1         64      4.611     1226.558  25.449           1654.163  
single_template-P1_1-H1_ID16                 65        1         64      4.464     903.355   20.462           1330.012  
single_template-P1_1-L1_ID18                 65        1         64      4.478     1379.614  27.221           1769.388  
single_template-P1_2-H1_ID27                 65        1         64      4.534     1397.331  28.014           1820.899  
single_template-P1_2-L1_ID29                 65        1         64      4.448     1411.439  28.006           1820.422  
single_template-P1_3-H1_ID38                 65        1         64      4.6       1319.242  26.85            1745.224  
single_template-P1_3-L1_ID40                 65        1         64      4.337     1004.312  21.922           1424.9    
single_template-P1_4-H1_ID49                 65        1         64      4.499     1266.918  25.914           1684.391  
single_template-P1_4-L1_ID51                 65        1         64      4.446     282.959   10.778           700.568   
single_template_plot-P1_0-H1_ID6             1         1         0       9.573     9.573     9.573            9.573     
single_template_plot-P1_0-L1_ID8             1         1         0       7.309     7.309     7.309            7.309     
single_template_plot-P1_1-H1_ID17            1         1         0       25.135    25.135    25.135           25.135    
single_template_plot-P1_1-L1_ID19            1         1         0       5.497     5.497     5.497            5.497     
single_template_plot-P1_2-H1_ID28            1         1         0       7.972     7.972     7.972            7.972     
single_template_plot-P1_2-L1_ID30            1         1         0       7.965     7.965     7.965            7.965     
single_template_plot-P1_3-H1_ID39            1         1         0       10.688    10.688    10.688           10.688    
single_template_plot-P1_3-L1_ID41            1         1         0       6.66      6.66      6.66             6.66      
single_template_plot-P1_4-H1_ID50            1         1         0       6.786     6.786     6.786            6.786     
single_template_plot-P1_4-L1_ID52            1         1         0       19.358    19.358    19.358           19.358    
system::chmod                                55        55        0       0.004     0.021     0.007            0.398     


# eba6debd-0493-4bcf-a304-ee233632cd29 (L1-SINGLES_MINIFOLLOWUP_FULL_DATA-1126051217-3331800_dax)
Transformation                             Count     Succeeded Failed  Min       Max       Mean           Total     
dagman::post                               1461      181       1280    0.0       1.0       0.165          241.0     
page_snglinfo-0-L1_ID0                     1         1         0       1406.875  1406.875  1406.875       1406.875  
page_snglinfo-1-L1_ID8                     1         1         0       1335.658  1335.658  1335.658       1335.658  
page_snglinfo-2-L1_ID16                    1         1         0       1297.126  1297.126  1297.126       1297.126  
page_snglinfo-3-L1_ID24                    1         1         0       1183.931  1183.931  1183.931       1183.931  
page_snglinfo-4-L1_ID32                    1         1         0       1205.291  1205.291  1205.291       1205.291  
page_snglinfo-5-L1_ID40                    1         1         0       1242.306  1242.306  1242.306       1242.306  
page_snglinfo-6-L1_ID48                    1         1         0       1275.347  1275.347  1275.347       1275.347  
page_snglinfo-7-L1_ID56                    1         1         0       1265.651  1265.651  1265.651       1265.651  
page_snglinfo-8-L1_ID64                    1         1         0       1167.948  1167.948  1167.948       1167.948  
page_snglinfo-9-L1_ID72                    1         1         0       1295.657  1295.657  1295.657       1295.657  
pegasus::dirmanager                        1         1         0       2.596     2.596     2.596          2.596     
pegasus::transfer                          20        20        0       2.2       53.423    21.82          436.395   
plot_singles_timefreq-0-L1_ID7             65        1         64      5.152     457.861   13.399         870.938   
plot_singles_timefreq-1-L1_ID15            65        1         64      4.797     192.587   9.314          605.416   
plot_singles_timefreq-2-L1_ID23            65        1         64      4.836     275.912   10.843         704.771   
plot_singles_timefreq-3-L1_ID31            65        1         64      5.301     145.031   8.596          558.74    
plot_singles_timefreq-4-L1_ID39            65        1         64      4.911     468.797   13.345         867.422   
plot_singles_timefreq-5-L1_ID47            65        1         64      4.769     194.949   9.412          611.792   
plot_singles_timefreq-6-L1_ID55            65        1         64      4.886     289.289   10.59          688.355   
plot_singles_timefreq-7-L1_ID63            65        1         64      4.661     131.307   7.753          503.929   
plot_singles_timefreq-8-L1_ID71            65        1         64      4.796     212.955   9.49           616.835   
plot_singles_timefreq-9-L1_ID79            65        1         64      4.816     158.695   8.538          554.994   
plot_trigger_timeseries-NEWSNR10_0-L1_ID4  1         1         0       497.932   497.932   497.932        497.932   
plot_trigger_timeseries-NEWSNR10_1-L1_ID12 1         1         0       337.545   337.545   337.545        337.545   
plot_trigger_timeseries-NEWSNR10_2-L1_ID20 1         1         0       520.46    520.46    520.46         520.46    
plot_trigger_timeseries-NEWSNR10_3-L1_ID28 1         1         0       495.816   495.816   495.816        495.816   
plot_trigger_timeseries-NEWSNR10_4-L1_ID36 1         1         0       600.788   600.788   600.788        600.788   
plot_trigger_timeseries-NEWSNR10_5-L1_ID44 1         1         0       481.938   481.938   481.938        481.938   
plot_trigger_timeseries-NEWSNR10_6-L1_ID52 1         1         0       610.524   610.524   610.524        610.524   
plot_trigger_timeseries-NEWSNR10_7-L1_ID60 1         1         0       482.944   482.944   482.944        482.944   
plot_trigger_timeseries-NEWSNR10_8-L1_ID68 1         1         0       543.001   543.001   543.001        543.001   
plot_trigger_timeseries-NEWSNR10_9-L1_ID76 1         1         0       507.572   507.572   507.572        507.572   
plot_trigger_timeseries-NEWSNR1_0-L1_ID3   1         1         0       528.779   528.779   528.779        528.779   
plot_trigger_timeseries-NEWSNR1_1-L1_ID11  1         1         0       514.753   514.753   514.753        514.753   
plot_trigger_timeseries-NEWSNR1_2-L1_ID19  1         1         0       510.629   510.629   510.629        510.629   
plot_trigger_timeseries-NEWSNR1_3-L1_ID27  1         1         0       461.192   461.192   461.192        461.192   
plot_trigger_timeseries-NEWSNR1_4-L1_ID35  1         1         0       510.174   510.174   510.174        510.174   
plot_trigger_timeseries-NEWSNR1_5-L1_ID43  1         1         0       573.031   573.031   573.031        573.031   
plot_trigger_timeseries-NEWSNR1_6-L1_ID51  1         1         0       593.01    593.01    593.01         593.01    
plot_trigger_timeseries-NEWSNR1_7-L1_ID59  1         1         0       558.304   558.304   558.304        558.304   
plot_trigger_timeseries-NEWSNR1_8-L1_ID67  1         1         0       578.767   578.767   578.767        578.767   
plot_trigger_timeseries-NEWSNR1_9-L1_ID75  1         1         0       574.296   574.296   574.296        574.296   
plot_trigger_timeseries-SNR10_0-L1_ID2     1         1         0       557.802   557.802   557.802        557.802   
plot_trigger_timeseries-SNR10_1-L1_ID10    1         1         0       536.375   536.375   536.375        536.375   
plot_trigger_timeseries-SNR10_2-L1_ID18    1         1         0       574.302   574.302   574.302        574.302   
plot_trigger_timeseries-SNR10_3-L1_ID26    1         1         0       557.254   557.254   557.254        557.254   
plot_trigger_timeseries-SNR10_4-L1_ID34    1         1         0       578.132   578.132   578.132        578.132   
plot_trigger_timeseries-SNR10_5-L1_ID42    1         1         0       481.579   481.579   481.579        481.579   
plot_trigger_timeseries-SNR10_6-L1_ID50    1         1         0       557.554   557.554   557.554        557.554   
plot_trigger_timeseries-SNR10_7-L1_ID58    1         1         0       470.962   470.962   470.962        470.962   
plot_trigger_timeseries-SNR10_8-L1_ID66    1         1         0       541.948   541.948   541.948        541.948   
plot_trigger_timeseries-SNR10_9-L1_ID74    1         1         0       464.985   464.985   464.985        464.985   
plot_trigger_timeseries-SNR1_0-L1_ID1      1         1         0       517.717   517.717   517.717        517.717   
plot_trigger_timeseries-SNR1_1-L1_ID9      1         1         0       463.254   463.254   463.254        463.254   
plot_trigger_timeseries-SNR1_2-L1_ID17     1         1         0       441.862   441.862   441.862        441.862   
plot_trigger_timeseries-SNR1_3-L1_ID25     1         1         0       549.09    549.09    549.09         549.09    
plot_trigger_timeseries-SNR1_4-L1_ID33     1         1         0       560.834   560.834   560.834        560.834   
plot_trigger_timeseries-SNR1_5-L1_ID41     1         1         0       443.836   443.836   443.836        443.836   
plot_trigger_timeseries-SNR1_6-L1_ID49     1         1         0       497.707   497.707   497.707        497.707   
plot_trigger_timeseries-SNR1_7-L1_ID57     1         1         0       469.736   469.736   469.736        469.736   
plot_trigger_timeseries-SNR1_8-L1_ID65     1         1         0       536.419   536.419   536.419        536.419   
plot_trigger_timeseries-SNR1_9-L1_ID73     1         1         0       451.13    451.13    451.13         451.13    
single_template-P1_0-L1_ID5                65        1         64      4.627     200.308   9.38           609.731   
single_template-P1_1-L1_ID13               65        1         64      4.422     195.06    9.405          611.325   
single_template-P1_2-L1_ID21               65        1         64      4.305     1332.387  26.934         1750.691  
single_template-P1_3-L1_ID29               65        1         64      4.399     1261.614  25.477         1656.021  
single_template-P1_4-L1_ID37               65        1         64      4.472     1145.041  23.943         1556.316  
single_template-P1_5-L1_ID45               65        1         64      4.385     1400.889  27.518         1788.66   
single_template-P1_6-L1_ID53               65        1         64      5.153     1225.564  25.177         1636.494  
single_template-P1_7-L1_ID61               65        1         64      4.494     208.042   9.655          627.546   
single_template-P1_8-L1_ID69               65        1         64      4.604     265.392   10.506         682.908   
single_template-P1_9-L1_ID77               65        1         64      4.99      695.369   17.014         1105.937  
single_template_plot-P1_0-L1_ID6           1         1         0       10.36     10.36     10.36          10.36     
single_template_plot-P1_1-L1_ID14          1         1         0       5.475     5.475     5.475          5.475     
single_template_plot-P1_2-L1_ID22          1         1         0       6.512     6.512     6.512          6.512     
single_template_plot-P1_3-L1_ID30          1         1         0       6.113     6.113     6.113          6.113     
single_template_plot-P1_4-L1_ID38          1         1         0       8.706     8.706     8.706          8.706     
single_template_plot-P1_5-L1_ID46          1         1         0       6.24      6.24      6.24           6.24      
single_template_plot-P1_6-L1_ID54          1         1         0       10.088    10.088    10.088         10.088    
single_template_plot-P1_7-L1_ID62          1         1         0       6.337     6.337     6.337          6.337     
single_template_plot-P1_8-L1_ID70          1         1         0       10.029    10.029    10.029         10.029    
single_template_plot-P1_9-L1_ID78          1         1         0       15.91     15.91     15.91          15.91     
system::chmod                              80        80        0       0.004     0.035     0.007          0.556     


# 89cd05c5-2656-4e14-91e1-67c6e0944299 (H1-SINGLES_MINIFOLLOWUP_FULL_DATA-1126051217-3331800_dax)
Transformation                             Count     Succeeded Failed  Min       Max       Mean           Total     
dagman::post                               1461      181       1280    0.0       1.0       0.125          182.0     
page_snglinfo-0-H1_ID0                     1         1         0       1652.356  1652.356  1652.356       1652.356  
page_snglinfo-1-H1_ID8                     1         1         0       1547.078  1547.078  1547.078       1547.078  
page_snglinfo-2-H1_ID16                    1         1         0       1642.678  1642.678  1642.678       1642.678  
page_snglinfo-3-H1_ID24                    1         1         0       1616.131  1616.131  1616.131       1616.131  
page_snglinfo-4-H1_ID32                    1         1         0       1538.161  1538.161  1538.161       1538.161  
page_snglinfo-5-H1_ID40                    1         1         0       1544.044  1544.044  1544.044       1544.044  
page_snglinfo-6-H1_ID48                    1         1         0       1689.781  1689.781  1689.781       1689.781  
page_snglinfo-7-H1_ID56                    1         1         0       1591.103  1591.103  1591.103       1591.103  
page_snglinfo-8-H1_ID64                    1         1         0       1564.984  1564.984  1564.984       1564.984  
page_snglinfo-9-H1_ID72                    1         1         0       1584.025  1584.025  1584.025       1584.025  
pegasus::dirmanager                        1         1         0       2.49      2.49      2.49           2.49      
pegasus::transfer                          20        20        0       2.195     55.575    21.434         428.671   
plot_singles_timefreq-0-H1_ID7             65        1         64      4.93      231.025   9.959          647.351   
plot_singles_timefreq-1-H1_ID15            65        1         64      4.822     319.301   11.158         725.28    
plot_singles_timefreq-2-H1_ID23            65        1         64      4.732     204.781   9.155          595.045   
plot_singles_timefreq-3-H1_ID31            65        1         64      4.726     182.202   9.025          586.623   
plot_singles_timefreq-4-H1_ID39            65        1         64      4.949     259.832   10.327         671.24    
plot_singles_timefreq-5-H1_ID47            65        1         64      5.173     201.856   9.553          620.945   
plot_singles_timefreq-6-H1_ID55            65        1         64      4.729     226.132   9.856          640.65    
plot_singles_timefreq-7-H1_ID63            65        1         64      4.982     208.48    9.119          592.726   
plot_singles_timefreq-8-H1_ID71            65        1         64      4.819     191.156   9.003          585.223   
plot_singles_timefreq-9-H1_ID79            65        1         64      4.567     230.115   9.801          637.063   
plot_trigger_timeseries-NEWSNR10_0-H1_ID4  1         1         0       712.572   712.572   712.572        712.572   
plot_trigger_timeseries-NEWSNR10_1-H1_ID12 1         1         0       727.405   727.405   727.405        727.405   
plot_trigger_timeseries-NEWSNR10_2-H1_ID20 1         1         0       742.358   742.358   742.358        742.358   
plot_trigger_timeseries-NEWSNR10_3-H1_ID28 1         1         0       719.882   719.882   719.882        719.882   
plot_trigger_timeseries-NEWSNR10_4-H1_ID36 1         1         0       783.569   783.569   783.569        783.569   
plot_trigger_timeseries-NEWSNR10_5-H1_ID44 1         1         0       698.966   698.966   698.966        698.966   
plot_trigger_timeseries-NEWSNR10_6-H1_ID52 1         1         0       666.385   666.385   666.385        666.385   
plot_trigger_timeseries-NEWSNR10_7-H1_ID60 1         1         0       702.733   702.733   702.733        702.733   
plot_trigger_timeseries-NEWSNR10_8-H1_ID68 1         1         0       1076.067  1076.067  1076.067       1076.067  
plot_trigger_timeseries-NEWSNR10_9-H1_ID76 1         1         0       718.113   718.113   718.113        718.113   
plot_trigger_timeseries-NEWSNR1_0-H1_ID3   1         1         0       598.042   598.042   598.042        598.042   
plot_trigger_timeseries-NEWSNR1_1-H1_ID11  1         1         0       665.097   665.097   665.097        665.097   
plot_trigger_timeseries-NEWSNR1_2-H1_ID19  1         1         0       670.875   670.875   670.875        670.875   
plot_trigger_timeseries-NEWSNR1_3-H1_ID27  1         1         0       669.268   669.268   669.268        669.268   
plot_trigger_timeseries-NEWSNR1_4-H1_ID35  1         1         0       716.527   716.527   716.527        716.527   
plot_trigger_timeseries-NEWSNR1_5-H1_ID43  1         1         0       772.061   772.061   772.061        772.061   
plot_trigger_timeseries-NEWSNR1_6-H1_ID51  1         1         0       650.035   650.035   650.035        650.035   
plot_trigger_timeseries-NEWSNR1_7-H1_ID59  1         1         0       761.081   761.081   761.081        761.081   
plot_trigger_timeseries-NEWSNR1_8-H1_ID67  1         1         0       645.409   645.409   645.409        645.409   
plot_trigger_timeseries-NEWSNR1_9-H1_ID75  1         1         0       593.621   593.621   593.621        593.621   
plot_trigger_timeseries-SNR10_0-H1_ID2     1         1         0       563.74    563.74    563.74         563.74    
plot_trigger_timeseries-SNR10_1-H1_ID10    1         1         0       701.03    701.03    701.03         701.03    
plot_trigger_timeseries-SNR10_2-H1_ID18    1         1         0       562.715   562.715   562.715        562.715   
plot_trigger_timeseries-SNR10_3-H1_ID26    1         1         0       595.812   595.812   595.812        595.812   
plot_trigger_timeseries-SNR10_4-H1_ID34    1         1         0       706.798   706.798   706.798        706.798   
plot_trigger_timeseries-SNR10_5-H1_ID42    1         1         0       709.55    709.55    709.55         709.55    
plot_trigger_timeseries-SNR10_6-H1_ID50    1         1         0       708.037   708.037   708.037        708.037   
plot_trigger_timeseries-SNR10_7-H1_ID58    1         1         0       651.78    651.78    651.78         651.78    
plot_trigger_timeseries-SNR10_8-H1_ID66    1         1         0       673.991   673.991   673.991        673.991   
plot_trigger_timeseries-SNR10_9-H1_ID74    1         1         0       636.421   636.421   636.421        636.421   
plot_trigger_timeseries-SNR1_0-H1_ID1      1         1         0       605.736   605.736   605.736        605.736   
plot_trigger_timeseries-SNR1_1-H1_ID9      1         1         0       4551.38   4551.38   4551.38        4551.38   
plot_trigger_timeseries-SNR1_2-H1_ID17     1         1         0       631.24    631.24    631.24         631.24    
plot_trigger_timeseries-SNR1_3-H1_ID25     1         1         0       584.392   584.392   584.392        584.392   
plot_trigger_timeseries-SNR1_4-H1_ID33     1         1         0       696.284   696.284   696.284        696.284   
plot_trigger_timeseries-SNR1_5-H1_ID41     1         1         0       660.337   660.337   660.337        660.337   
plot_trigger_timeseries-SNR1_6-H1_ID49     1         1         0       592.031   592.031   592.031        592.031   
plot_trigger_timeseries-SNR1_7-H1_ID57     1         1         0       705.074   705.074   705.074        705.074   
plot_trigger_timeseries-SNR1_8-H1_ID65     1         1         0       5710.988  5710.988  5710.988       5710.988  
plot_trigger_timeseries-SNR1_9-H1_ID73     1         1         0       634.262   634.262   634.262        634.262   
single_template-P1_0-H1_ID5                65        1         64      5.148     338.897   12.121         787.879   
single_template-P1_1-H1_ID13               65        1         64      4.402     317.559   11.821         768.352   
single_template-P1_2-H1_ID21               65        1         64      5.102     337.871   12.113         787.334   
single_template-P1_3-H1_ID29               65        1         64      4.403     1277.048  26.448         1719.121  
single_template-P1_4-H1_ID37               65        1         64      4.612     193.716   9.807          637.461   
single_template-P1_5-H1_ID45               65        1         64      4.496     1440.703  29.094         1891.104  
single_template-P1_6-H1_ID53               65        1         64      4.538     338.473   11.325         736.101   
single_template-P1_7-H1_ID61               65        1         64      4.607     201.528   9.438          613.459   
single_template-P1_8-H1_ID69               65        1         64      4.68      260.132   10.787         701.132   
single_template-P1_9-H1_ID77               65        1         64      4.472     1099.053  23.936         1555.821  
single_template_plot-P1_0-H1_ID6           1         1         0       8.66      8.66      8.66           8.66      
single_template_plot-P1_1-H1_ID14          1         1         0       5.676     5.676     5.676          5.676     
single_template_plot-P1_2-H1_ID22          1         1         0       5.432     5.432     5.432          5.432     
single_template_plot-P1_3-H1_ID30          1         1         0       7.286     7.286     7.286          7.286     
single_template_plot-P1_4-H1_ID38          1         1         0       5.947     5.947     5.947          5.947     
single_template_plot-P1_5-H1_ID46          1         1         0       6.973     6.973     6.973          6.973     
single_template_plot-P1_6-H1_ID54          1         1         0       6.99      6.99      6.99           6.99      
single_template_plot-P1_7-H1_ID62          1         1         0       14.797    14.797    14.797         14.797    
single_template_plot-P1_8-H1_ID70          1         1         0       7.149     7.149     7.149          7.149     
single_template_plot-P1_9-H1_ID78          1         1         0       5.474     5.474     5.474          5.474     
system::chmod                              80        80        0       0.003     0.022     0.007          0.574     


